Date,Revenue,Expenses,Depreciation,Region
2023-01-01,500000,350000,50000,North
2023-02-01,550000,375000,50000,South
2023-03-01,600000,400000,60000,East
2023-04-01,620000,410000,60000,West
2023-05-01,635000,425000,60000,North
2023-06-01,660000,440000,65000,South
2023-07-01,680000,450000,65000,East
2023-08-01,695000,460000,65000,West
2023-09-01,710000,470000,70000,North
2023-10-01,730000,485000,70000,South
2023-11-01,750000,495000,75000,East
2023-12-01,780000,510000,75000,West
2024-01-01,760000,505000,75000,North
2024-02-01,740000,490000,75000,South
2024-03-01,765000,500000,80000,East
2024-04-01,785000,515000,80000,West
2024-05-01,805000,525000,80000,North
2024-06-01,825000,540000,85000,South
2024-07-01,845000,550000,85000,East
2024-08-01,860000,560000,85000,West
2024-09-01,880000,570000,90000,North
2024-10-01,900000,585000,90000,South
2023-01-15,510000,360000,50000,Central
2023-02-15,560000,380000,55000,Northwest
2023-03-15,590000,395000,55000,Southwest
2023-04-15,615000,405000,60000,Northeast
2023-05-15,640000,420000,60000,Southeast
2023-06-15,655000,435000,65000,Central
2023-07-15,675000,445000,65000,Northwest
2023-08-15,690000,455000,70000,Southwest
2023-09-15,705000,465000,70000,Northeast
2023-10-15,725000,480000,75000,Southeast
2023-11-15,745000,490000,75000,Central
2023-12-15,770000,505000,80000,Northwest
2024-01-15,755000,500000,80000,Southwest
2024-02-15,745000,495000,80000,Northeast
2024-03-15,770000,505000,85000,Southeast
2024-04-15,790000,520000,85000,Central
2024-05-15,810000,530000,90000,Northwest
2024-06-15,830000,545000,90000,Southwest
2024-07-15,850000,555000,95000,Northeast
2024-08-15,865000,565000,95000,Southeast
2024-09-15,885000,575000,95000,Central
2024-10-15,905000,590000,100000,Northwest
2023-01-30,515000,365000,55000,International
2023-02-28,565000,385000,55000,Asia
2023-03-30,595000,400000,60000,Europe
2023-04-30,625000,415000,60000,Africa
2023-05-30,645000,430000,65000,SouthAmerica
2023-06-30,665000,445000,65000,International
2023-07-30,685000,455000,70000,Asia
2023-08-30,700000,465000,70000,Europe
2023-09-30,715000,475000,75000,Africa
2023-10-30,735000,490000,75000,SouthAmerica
2023-11-30,755000,500000,80000,International
2023-12-30,785000,515000,80000,Asia
2024-01-30,765000,510000,85000,Europe
2024-02-29,750000,500000,85000,Africa
2024-03-30,775000,510000,90000,SouthAmerica
2024-04-30,795000,525000,90000,International
2024-05-30,815000,535000,95000,Asia
2024-06-30,835000,550000,95000,Europe
2024-07-30,855000,560000,100000,Africa
2024-08-30,870000,570000,100000,SouthAmerica
2024-09-30,890000,580000,105000,International
2024-10-30,910000,595000,105000,Asia
2024-11-01,930000,600000,110000,North
2024-12-01,950000,615000,110000,South
2025-01-01,970000,630000,115000,East
2025-02-01,990000,645000,115000,West
2025-03-01,1010000,660000,120000,Central
2025-04-01,1030000,670000,120000,Northwest
2025-05-01,1050000,685000,125000,Southwest
2025-06-01,1070000,700000,125000,Northeast
2025-07-01,1090000,715000,130000,Southeast
2025-08-01,1110000,730000,130000,International
2025-09-01,1130000,745000,135000,Asia
2025-10-01,1150000,760000,135000,Europe
2025-11-01,1170000,775000,140000,Africa
2025-12-01,1190000,790000,140000,SouthAmerica
2026-01-01,1210000,805000,145000,North
2026-02-01,1230000,820000,145000,South
2026-03-01,1250000,835000,150000,East
2026-04-01,1270000,850000,150000,West
2026-05-01,1290000,865000,155000,Central
2026-06-01,1310000,880000,155000,Northwest
2026-07-01,1330000,895000,160000,Southwest
2026-08-01,1350000,910000,160000,Northeast
2026-09-01,1370000,925000,165000,Southeast
2026-10-01,1390000,940000,165000,International
2026-11-01,1410000,955000,170000,Asia
2026-12-01,1430000,970000,170000,Europe
2027-01-01,1450000,985000,175000,Africa
2027-02-01,1470000,1000000,175000,SouthAmerica
2027-03-01,1490000,1015000,180000,North
2027-04-01,1510000,1030000,180000,South
2027-05-01,1530000,1045000,185000,East
2027-06-01,1550000,1060000,185000,West
2027-07-01,1570000,1075000,190000,Central